time (s),input (us),force (lb)
1.812,1850,8.29
1.814,1850,8.07
1.816,1850,9.07
1.818,1650,8.97
1.820,1650,7.14
1.822,1650,9.04
1.824,1650,9.54
1.826,1650,6.57
1.828,1650,7.68
1.830,1650,6.00
1.832,1650,2.51
1.834,1650,0.04
1.836,1650,-0.49
1.838,1650,-2.03
1.840,1650,-1.38
1.842,1650,1.47
1.844,1650,3.29
1.846,1650,3.93
1.848,1650,4.47
1.850,1650,4.40
1.852,1650,3.40
1.854,1650,3.50
1.856,1650,3.72
1.858,1650,3.04
1.860,1650,1.79
1.862,1650,1.18
1.864,1650,1.18
1.866,1650,0.94
1.868,1650,1.29
1.870,1650,2.65
1.872,1650,3.29
1.874,1650,3.79
1.876,1650,4.15
1.878,1650,3.90
1.880,1650,4.00
1.882,1650,3.97
1.884,1650,3.18
1.886,1650,2.15
1.888,1650,1.58
1.890,1650,1.01
1.892,1650,1.43
1.894,1650,1.47
1.896,1650,1.29
1.898,1850,1.04
1.900,1850,1.11
1.902,1850,1.11
1.904,1850,1.93
1.906,1850,3.79
1.908,1850,5.50
1.910,1850,6.82
1.912,1850,8.86
1.914,1850,10.18
1.916,1850,11.89
1.918,1850,12.25
1.920,1850,11.86
1.922,1850,11.39
1.924,1850,9.57
1.926,1850,7.25
1.928,1850,6.29
1.930,1850,6.22
1.932,1850,5.11
1.934,1850,4.83
1.936,1850,6.32
1.938,1850,6.75
1.940,1850,7.72
1.942,1850,10.04
1.944,1850,10.18
1.946,1850,9.36
1.948,1850,10.25
1.950,1850,10.46
1.952,1850,8.93
1.954,1850,7.61
1.956,1850,8.39
1.958,1850,6.11
1.960,1850,5.79
1.962,1850,7.54
1.964,1850,7.25
1.966,1850,7.54
1.968,1850,9.46
1.970,1850,10.64
1.972,1850,9.64
1.974,1850,9.89
1.976,1650,11.11
1.978,1650,8.93
1.980,1650,8.11
1.982,1650,9.50
1.984,1650,7.50
1.986,1650,6.15
1.988,1650,6.22
1.990,1650,4.50
1.992,1650,1.29
1.994,1650,-0.28
1.996,1650,-0.85
1.998,1650,-1.49
2.000,1650,-0.60
2.002,1650,2.68
2.004,1650,3.97
2.006,1650,4.47
2.008,1650,5.22
2.010,1650,4.83
2.012,1650,3.72
2.014,1650,2.97
2.016,1650,2.65
2.018,1650,1.93
2.020,1650,1.11
2.022,1650,0.97
2.024,1650,0.61
